id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4564670025302999,Jr8mumfyf,2639029341,福州发布,#漫步福州##福州城建#【光明港：截污清淤颜值提升】西起六一路，东至魁岐九门闸，串起晋安河、凤坂河、浦东河等内河，光明港见证了福州江绕城流的风光清韵，作为《幸福·河畔》画册作品征集点，光明港谱写了水系治理华章，焕发河道新颜值。曾经的光明港被诟病不少，垃圾漂浮、河水腐臭、岸边堆弃，市民都是捂住口鼻，匆匆经过，但随着福州市水系综合治理的推进，光明港展露新颜，成为市民闲散的好去处。O光明港：截污清淤颜值提升,,,,"漫步福州,福州城建",0,0,2,2020-10-27 16:00,微博 weibo.com,"['http://ww2.sinaimg.cn/large/9d4c645dly1gk3q6ow3w5j20og0gb150.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dly1gk3q6ozbjtj20og09fte2.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dly1gk3q6ovyg3j20og0gb47g.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dly1gk3q6p8pgkj20og0gbk3l.jpg', 'http://ww4.sinaimg.cn/large/9d4c645dly1gk3q6pdoffj20og0h718g.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dly1gk3q6oxy8uj20og0g913e.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dly1gk3q6p35zdj20og0gb16r.jpg', 'http://ww1.sinaimg.cn/large/9d4c645dly1gk3q6p2clrj20og0gbn8m.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dly1gk3q6p3cdqj20og0g9drl.jpg']",,
4544689845576207,JiKAonoCP,2553604372,福州新闻网fznews,【#泥石流后教室来了一群硬核值日生#】8月31日，甘肃文县东风小学，#消防员清淤后给小学生画黑板报#，作为开学礼物。当地此前发生滑坡泥石流，灾情较重，消防员一直在当地清淤排涝。开学临近学校仍被淤泥覆盖，深度达1米多。消防员3天清淤2300多立方米，保证学校正常开学。（via新华网）L新华网的微博视频,,,,"泥石流后教室来了一群硬核值日生,消防员清淤后给小学生画黑板报",0,0,0,2020-09-02 12:45,360安全浏览器,,"http://f.video.weibocdn.com/nmpCNtcIlx07G65ZTI3C010412009w9e0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663641&ssig=Ngi4ulNZES&KID=unistore,video",
4539654655968276,JgDB7p2Cw,2636720431,福州气象,【#洪水消退乐山大佛重新露出脚趾#工作人员紧急清淤】#乐山大佛脚趾露出#8月18日，四川乐山大佛脚下江水暴涨，1949年以来首次被淹至脚趾。8月19日上午9点，封面新闻记者在现场看到，江水已经从大佛脚趾退去，已退至佛脚平台约2米以下。前两天，四川乐山遭遇持续大暴雨袭击，加之岷江、大渡河、青衣上游的成都、眉山、雅安等地同时出现强降雨，在乐山市市中区流域形成特大洪峰。洪水一度淹没了乐山大佛脚趾，那也是新中国成立以来，大佛首次被洪水淹至脚趾。L封面新闻的微博视频,,,,"洪水消退乐山大佛重新露出脚趾,乐山大佛脚趾露出",0,0,2,2020-08-19 15:17,小福气🍒Android,,"http://f.video.weibocdn.com/002n5Puegx07FKFMaOvt010412009IIj0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663641&ssig=pzX%2FcnJzw3&KID=unistore,video",
4531160937662042,Jd4Dzw9fk,2636720431,福州气象,【奶奶您别哭，我们来了...】7月25日，安徽全椒县古河镇，消防指战员在清淤除障期间遇见一正在家门口掩面哭泣的老人，屋内的家具、厨具以及衣物等都被洪水浸泡，消防指战员将物品一一搬至空地晾晒，并将房屋里的淤泥、积水进行清理。消防指战员在清理过程中发现老人的床单被褥已不能再使用，第一时间前往商店给老人购置了床单、被褥以及洗漱用品等。#抗洪一线#L山东消防的微博视频,,,,抗洪一线,0,0,7,2020-07-27 04:46,HUAWEI nova 2 Plus,,"http://f.video.weibocdn.com/fBRy7Hirlx07F8AhpELu01041200s6YV0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663641&ssig=EchxNThHhV&KID=unistore,video",
4529218924842500,Jcg7ikjKQ,2098188210,福建政务,#闽间要闻#【福建消防驰援江西抗洪抢险巡查大堤灾后清淤】日前，福建省消防救援总队福州、泉州、南平支队来到江西余干县三塘河执行大堤巡查，利用橡皮艇、无人机对约3公里区段的大堤进行来回巡查，实时监测大堤水位及有无渗水等情况。根据消防救援局前方指挥部指令，福建消防人员还前往鄱阳县谢家滩镇执行灾后清淤等任务。（图片来源：福建消防）,,,,闽间要闻,0,0,2,2020-07-21 20:10,微博 weibo.com,"['http://ww1.sinaimg.cn/large/7d0fcfb2gy1ggyqw6h3xlj20pu0gnwhp.jpg', 'http://ww1.sinaimg.cn/large/7d0fcfb2gy1ggyqw6oqowj20pu0gcjt7.jpg', 'http://ww4.sinaimg.cn/large/7d0fcfb2gy1ggyqweg0cpj20pu0h8adh.jpg', 'http://ww2.sinaimg.cn/large/7d0fcfb2gy1ggyqwllh4pj20pu0h8mzh.jpg']",,
4529144685924741,JcebyoRil,2639029341,福州发布,#榕城身边事#【福建消防驰援江西抗洪抢险巡查大堤灾后清淤】日前，福建省消防救援总队福州、泉州、南平支队来到江西余干县三塘河执行大堤巡查，利用橡皮艇、无人机对约3公里区段的大堤进行来回巡查，实时监测大堤水位及有无渗水等情况。根据消防救援局前方指挥部指令，福建消防人员还前往鄱阳县谢家滩镇执行灾后清淤等任务。（图片来源：福建消防）O福建消防驰援江西抗洪抢险巡查大堤灾后清淤,,,,榕城身边事,0,0,3,2020-07-21 15:15,微博 weibo.com,"['http://ww3.sinaimg.cn/large/9d4c645dgy1ggyfkxf7e1j20pu0gnwhp.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dgy1ggyfkxduyhj20pu0h8mzh.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dgy1ggyfkxd9nkj20pu0gcjt7.jpg', 'http://ww1.sinaimg.cn/large/9d4c645dgy1ggyfkx3361j20pu0h8adh.jpg']",,
4528415236954171,JbVd1tb63,2255139900,中新社福建,【#南方汛情#福建消防驰援江西抗洪抢险巡查大堤灾后清淤】7月18日，福建省消防救援总队福州、泉州、南平支队来到江西余干县三塘河执行大堤巡查，利用橡皮艇、无人机对约3公里区段的大堤进行来回巡查，实时监测大堤水位及有无渗水等情况。根据消防救援局前方指挥部指令，福建消防人员还前往鄱阳县谢家滩镇执行灾后清淤等任务。(@福建消防供图),,,福建消防,南方汛情,0,0,1,2020-07-19 14:56,OnePlus 7 Pro,"['http://ww4.sinaimg.cn/large/866ab43cgy1ggwaf0d7mqj20fa09uq42.jpg', 'http://ww4.sinaimg.cn/large/866ab43cgy1ggwaf0vjewj20fa09ndgc.jpg', 'http://ww1.sinaimg.cn/large/866ab43cgy1ggwaf1nmd9j20fa0a6ab1.jpg', 'http://ww3.sinaimg.cn/large/866ab43cgy1ggwaf24z6pj20fa0a6q47.jpg']",,
4527064734761887,Jbm4NjYMD,2553604372,福州新闻网fznews,【#抗洪消防员清淤时发现国旗清洗收好#】驰援安徽黄山的@滁州消防消防员，在助力灾后重建清淤过程中发现了一面国旗，他们连忙从地上拿起，仔细清洗，小心折叠，晾晒收好。（via安徽消防）L安徽消防的微博视频,,,滁州消防,抗洪消防员清淤时发现国旗清洗收好,0,0,2,2020-07-15 21:30,微博 weibo.com,,"http://f.video.weibocdn.com/nPaw83vqlx07ERa8J1v2010412006GLj0E010.mp4?label=mp4_ld&template=360x636.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663641&ssig=oQX%2F%2FCNGWf&KID=unistore,video",
4526262242037485,Jb1cs8y2F,2728353382,今日晋安,【启动整治！福州晋安这里将大变样！沿线新增3大串珠公园】截污、清淤、增绿、添园。作为与在建高水高排工程连接的河道义井溪综合整治全面启动啦~~由于经年累月的泥沙沉积以及截污缺失等“病害”，如今义井溪风采不再为增强河道防洪排涝能力，同时提前与高水高排项目做好对接，义井溪正式启动综合整治。O启动整治！晋安这里将大变样！沿线新增3大串珠公园,,,,,0,0,0,2020-07-13 16:21,微博 weibo.com,"['http://ww4.sinaimg.cn/large/a29f5e66gy1ggpf36e7ocj20u00jz776.jpg', 'http://ww3.sinaimg.cn/large/a29f5e66gy1ggpf36cthuj20u00iwdja.jpg', 'http://ww4.sinaimg.cn/large/a29f5e66gy1ggpf3hc2f2j20k00dbwg1.jpg']",,
4523999281231496,Ja4kw5amQ,2728353382,今日晋安,【时隔15年！福州晋安这里再有大动作！】平均下挖深度1.5米，清淤面积约8万平方米，清淤总量达12.6万立方米。日前，历时2个多月的八一水库应急清淤工程正式完成！这是八一水库时隔15年后再一次清淤，清淤总量相当于再挖一个涧田湖。八一水库位于晋安区新店镇赤桥村，不仅是市民休闲观光的好去处，对福州城区也有重要的防洪作用。O时隔15年！晋安这里再有大动作！,,,,,0,0,0,2020-07-07 10:29,微博 weibo.com,"['http://ww2.sinaimg.cn/large/a29f5e66gy1gghe3awdf7j20u00l1goh.jpg', 'http://ww4.sinaimg.cn/large/a29f5e66gy1gghe3axodkj20tk0imgok.jpg']",,
4523720197039508,J9X4ntxis,2639029341,福州发布,#福州城建#【时隔15年！福州这里再有大动作】日前，历时2个多月的八一水库应急清淤工程正式完成！这是八一水库时隔15年后再一次清淤，清淤总量相当于再挖一个涧田湖。八一水库位于晋安区新店镇赤桥村，由于上游来水冲刷经年累月泥沙渐渐沉积，靠近森林公园木栈道的区域里出现大片的黄土、杂草，为在汛期来临前给这个重要的蓄滞水体“清肠”。当前，城区最大水利工程——江北城区山洪防治及生态补水工程（简称高水高排项目）正在推进。待工程完成后，八一水库将是最主要的洪水蓄滞点。O时隔15年！福州这里再有大动作,,,,福州城建,0,0,1,2020-07-06 16:00,微博 weibo.com,"['http://ww4.sinaimg.cn/large/9d4c645dgy1ggh8cn6bgmj20m80etgnj.jpg', 'http://ww4.sinaimg.cn/large/9d4c645dgy1ggh8cn6zj7j20fz0ckq3y.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dgy1ggh8cn712vj20m80fljsy.jpg', 'http://ww4.sinaimg.cn/large/9d4c645dgy1ggh8cn7emnj20m80e0dhk.jpg']",,
4521471152853955,J90yTbYrx,2639029341,福州发布,#福州城建##榕城身边事#【八一水库“清肠”完成清出12.6万立方米淤泥】29日据市城乡建总消息，历时两个月的八一水库应急清淤工程正式完成！八一水库清淤的平均下挖深度达1.5米，清淤面积约8万平方米，目前已清出12.6万立方米淤泥。接下来，八一水库也将成为沿线一个重要的蓄滞水体，继续为城区防洪排涝出力。O八一水库“清肠”完成清出12.6万立方米淤泥,,,,"福州城建,榕城身边事",1,0,1,2020-06-30 11:03,iPhone客户端,['http://ww2.sinaimg.cn/large/9d4c645dgy1gg9zpjhy05j20hs0chgvs.jpg'],,
4521451744914038,J903AkCmG,1895697240,福州日报,福州新闻【八一水库“清肠”完成清出12.6万立方米淤泥】#全力打造幸福之城#历时两个月的八一水库应急清淤工程正式完成！目前水库已清出12.6万立方米淤泥，相当于再挖了一个涧田湖。据了解，待其完工后，八一水库也将成为沿线一个重要的蓄滞水体，继续为城区防洪排涝出力。O八一水库“清肠”完成清出12.6万立方米淤泥,,,,全力打造幸福之城,1,1,3,2020-06-30 09:46,微博 weibo.com,['http://ww3.sinaimg.cn/large/70fe0b58gy1gga0lakpa2j20hs0ch0un.jpg'],,
4521444446590324,J8ZROrEry,2553604372,福州新闻网fznews,福州新闻【八一水库“清肠”完成清出12.6万立方米淤泥】#全力打造幸福之城#历时两个月的八一水库应急清淤工程正式完成！目前水库已清出12.6万立方米淤泥，相当于再挖了一个涧田湖。现在，台风暴雨时，五四北片区的来水可经涧田湖再到登云水库，能有效缓解火车站一带的内涝。O八一水库“清肠”完成清出12.6万立方米淤泥,,,,全力打造幸福之城,0,0,0,2020-06-30 09:17,微博 weibo.com,['http://ww3.sinaimg.cn/large/9834e914gy1gga08fwjjij20hs0chqcy.jpg'],,
4505515252996746,J2jtzczAC,5645444706,福建生态环境,【截污清淤美化河岸又见碧水润榕城（人民日报）】打铁港边住了36年，福建福州市民林艳庭却几乎认不出它眼下的模样：两岸密密麻麻的老房子没了踪影，一湾碧水，绿树相拥。“样子变了，气味也变了。”“榕城”福州水网密布，150多条河流润泽城区。城市化飞速向前，基础设施却没有跟上。回应群众呼声，2016年，一场力度空前的黑臭水体治理攻坚战开始推进。……@生态环境部O截污清淤美化河岸又见碧水润榕城（人民日报）,,,生态环境部,,1,0,0,2020-05-17 10:20,微博 weibo.com,,,
4504137788930781,J1JDQBtiR,1263692934,第一球迷胖哥,胖哥论坛福州：问河那得清如许相约河岸边，散步黄昏后百货随潮船入市，万家沽酒户垂帘。——龙昌期《三山即事》截污清淤，美化河岸，又见碧水润榕城！福州内河水系发达自古发达被标记的五颜六色内河河道纵横交错的内河就好像是榕树的根须一般蔓延覆盖了整个城市让人不禁联想“榕城”之“榕”或不仅在树也在于河有了水就有了人，有了人就有了故事据说，通常水量充沛的城市，都比较容易生出浪漫，有了水，就有了聚居而来的人，有了人就有了故事。福州人自古依水而居，城市内河交织成网，全市的内河多达107条。一条城市的内河，往往也是一方水土的历史标志。它缓缓流经城市的街巷，记录下沿岸的变迁和发生于此一段段的悲欢离合。安泰河，曾是城区运河交通的总枢纽，河上船来舶往，有诗形容“百货随潮船入市，万家沽酒户垂帘”，可以想像当时的繁华。在那些桨声灯影里，才子佳人的故事自然必不可少。福州本地人都熟知的《荔枝换绛桃》的故事，据说就发生在安泰河畔。后唐庄宗时，福州少女冷霜蝉，对住在河对岸的书生艾敬郎一见钟情。某日，冷姑娘见书生在画画，就大胆地丢了几颗荔枝过去。艾敬郎接到荔枝后，在一只绛桃上题了“身无彩凤双飞翼”的诗句回投给霜蝉，霜蝉又题了“心有灵犀一点通”的诗句还给敬郎……后来，一对情人结成良缘。不料此时闽王征选宫女，将霜蝉抢进宫去，虽经归大娘以闽王乳娘的身份前去说情，但闽王贪恋霜蝉的美貌，不肯释放。霜蝉自知无望，乃求得与敬郎一见，至时二人一同跳进柴塔的烈火之中，化成一对驾鸯，双双腾空飞去。或许是被这样的勇气感召，据说后来每当乞巧节的这一天，姑娘们还会乘着安泰河上的小船，将手里的茉莉花抛洒给自己中意的有情人，以期“莫离”。而说起神仙汇集，便也不得不提光明港。南岸河边有一条洋中后巷，不长，至多一里的样子，却一口气聚集了三大道教庙宇。翁八帮吴颜庙，吴颜指的是闽王王审知麾下的两位将军，吴阳和颜平圣。吴颜庙对面，是台江鸭姆洲广应白马王爷庙，供奉的是福州地区闻名遐迩的白马王。隔一条小路，就是洋中尚书庙，供奉的是水部尚书陈文龙。南宋末年，蒙古大军铁骑南下，当时各地守将纷纷投降，唯他一人宁死不从，福建人的气节，由此可见。漫步清水间，相约黄昏后随着城区治理内河进程的不断迈进，福州各大内河的水质的确变得比以前好，甚至还有水鸟出没。福州的内河曾经十分清澈，50年代时，人们都在河边淘米洗菜，河里还可以游泳。据《台江区志》记载，每逢涨潮，白马河水面澎湃奔涌，观潮人摩肩接踵，这也成了明代以来福州的“南台十景”之一。后来，由于工农业的高速发展，内河的水质逐渐恶化。从2016年开始，一场力度空前的黑臭水体治理攻坚战，开始推进。2500多公里管道，福州已经“治”了2200多公里，剩余300公里也将在今年完成。白马河、安泰河、西湖、晋安河、光明港……相互串联，结成了一道沿河绿道系统。日落后的傍晚，高温也随之消去，好是夜阑人语静，一江明月万枝箫。种树、修路、亮灯、造景、建园，500多公里步道，串起270个滨河公园，水道“嵌”进绿道，让福州成为全国首批黑臭水体治理示范城市之一。如今的串珠公园里，不少人在散步，河边休息区的石凳上坐满了打牌的人们。一张桌子、一副牌再加上自己带的一壶热水，就能在河边话一下午的悠闲，直到太阳落山。福州的内河蜿蜒地穿过城市和田野穿过了时空水道汇编成历史从过往潺潺流下然后猛地涌入当下的现实映照着福州城市近年来的蓬勃发展枕水而居、伴水而行此地福州，等你徜徉,,,,,0,11,4,2020-05-13 15:06,胖哥论坛超话,"['http://ww1.sinaimg.cn/large/4b526c86gy1geqtzp5fzpg20b4069u0x.jpg', 'http://ww1.sinaimg.cn/large/4b526c86gy1geqtzq18hcj20hi0mwacq.jpg', 'http://ww4.sinaimg.cn/large/4b526c86gy1geqtzskrkcj20go0b1n1s.jpg', 'http://ww4.sinaimg.cn/large/4b526c86gy1geqtztqyz0j20hs0b1aea.jpg', 'http://ww1.sinaimg.cn/large/4b526c86gy1geqtzumljoj20dw09g0vw.jpg', 'http://ww2.sinaimg.cn/large/4b526c86gy1geqtzwjqhvj20r80db10v.jpg', 'http://ww3.sinaimg.cn/large/4b526c86gy1geqtzzliraj20u00k2wud.jpg', 'http://ww2.sinaimg.cn/large/4b526c86gy1gequ00c1kwj20hi097myu.jpg', 'http://ww3.sinaimg.cn/large/4b526c86gy1gequ00tsdij20hs0bu0uq.jpg']",,
